"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"21.02.2026 12:43:35";"21.02.2026";"*5436";"OK";"-257,00";"RUB";"-257,00";"RUB";"";"Фастфуд";"5814";"Хлебник";"0,00";"43,00";"-300,00"
"21.02.2026 11:56:41";"21.02.2026";"*5436";"OK";"-742,00";"RUB";"-742,00";"RUB";"";"Фастфуд";"5814";"Теремок";"0,00";"58,00";"-800,00"
"20.02.2026 07:17:34";"20.02.2026";"*5436";"OK";"-224,98";"RUB";"-224,98";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"25,02";"-250,00"
"19.02.2026 20:31:11";"19.02.2026";"*5436";"OK";"-129,99";"RUB";"-129,99";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"20,01";"-150,00"
"19.02.2026 07:12:45";"19.02.2026";"*5436";"OK";"-149,99";"RUB";"-149,99";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"0,01";"-150,00"
"18.02.2026 10:34:48";"18.02.2026";"*5436";"OK";"-2872,33";"RUB";"-2872,33";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"127,67";"-3000,00"
"18.02.2026 07:09:50";"18.02.2026";"*5436";"OK";"-149,99";"RUB";"-149,99";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"0,01";"-150,00"
"17.02.2026 21:06:47";"17.02.2026";"*5436";"OK";"-199,98";"RUB";"-199,98";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"0,02";"-200,00"
"17.02.2026 20:52:29";"17.02.2026";"*5436";"OK";"-25000,00";"RUB";"-25000,00";"RUB";"";"Наличные";"6011";"Снятие в банкомате Т-Банк";"0,00";"0,00";"-25000,00"
"17.02.2026 20:46:10";"17.02.2026";"*5436";"OK";"-637,40";"RUB";"-637,40";"RUB";"";"Фастфуд";"5814";"Хлебник";"0,00";"62,60";"-700,00"
"17.02.2026 07:19:55";"17.02.2026";"*5436";"OK";"-224,98";"RUB";"-224,98";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"25,02";"-250,00"
"16.02.2026 17:10:29";"16.02.2026";"*5436";"OK";"-950,95";"RUB";"-950,95";"RUB";"";"Супермаркеты";"5411";"Пятёрочка";"0,00";"49,05";"-1000,00"
"16.02.2026 07:10:58";"16.02.2026";"*5436";"OK";"-224,98";"RUB";"-224,98";"RUB";"";"Супермаркеты";"5411";"Лента";"0,00";"25,02";"-250,00"
